Circ. Removido;Severidade;Circ. Sobrecarregado
1;0,0;
2;0,890229711299622;3, 6
3;0,5785504350413317;2, 16
4;0,012274241422847491;16
5;0,012274241422847491;16
6;0,351865856246549;2
7;0,07389525516056518;16
8;0,07529887301500153;16
9;0,21210535789375848;10
10;0,21210535789375848;9
11;0,24698677858389917;2, 16
12;0,04423605262135209;16
13;0,06599877829798816;16
14;0,017634034721867663;16
15;0,017634034721867663;16
16;0,0;
17;0,0;
18;0,036161012926390984;16
19;0,036161012926390984;16
20;0,0;
21;0,0;
