BDE;BPARA;NCIR;RES(PU);REAT(PU);SUCsh(PU);TAP(PU);DEF(GRAUS);LIG(L)DESL(D);CAP(PU);Perdas (MW);Pkm (MW);Pmk (MW);CAP(MW);Sobrecarga
1;2;1;0,0194;0,0592;0,0164;1,0000;0,0000;L;1,0000;0,0323;-13,5470;13,5792;100,0000;0,0000
1;5;2;0,0540;0,1230;0,0146;1,0000;0,0000;L;1,0000;3,4108;88,5470;-85,1362;100,0000;0,0000
2;3;3;0,0470;0,1980;0,0119;1,0000;0,0000;L;1,0000;1,6320;61,4208;-59,7888;100,0000;0,0000
3;4;4;0,0581;0,1763;0,0187;1,0000;0,0000;L;1,0000;0,1795;18,6448;-18,4653;100,0000;0,0000
3;4;5;0,0581;0,1763;0,0187;1,0000;0,0000;L;1,0000;0,1795;18,6448;-18,4653;100,0000;0,0000
3;5;6;0,0234;0,0768;0,0198;1,0000;0,0000;L;1,0000;0,0095;-6,7048;6,7143;100,0000;0,0000
3;6;7;0,0354;0,0967;0,0203;1,0000;0,0000;D;1,0000;0,0000;0,0000;0,0000;100,0000;0,0000
4;6;8;0,0462;0,1045;0,0234;1,0000;0,0000;L;1,0000;0,4922;35,9717;-35,4795;100,0000;0,0000
5;8;9;0,0000;0,2520;0,0000;1,0000;0,0000;D;0,8200;0,0000;0,0000;0,0000;82,0000;0,0000
5;8;10;0,0000;0,2520;0,0000;1,0000;0,0000;L;0,8200;0,0000;43,1619;-43,1619;82,0000;0,0000
6;9;11;0,0000;0,1100;0,0000;1,0500;-20,0000;L;0,8200;0,0000;25,5130;-25,5130;82,0000;0,0000
6;7;12;0,0134;0,1421;0,0120;1,0000;0,0000;L;1,0000;0,0131;9,9666;-9,9535;100,0000;0,0000
7;10;13;0,0000;0,1021;0,0000;1,0000;-25,0000;L;0,8200;0,0000;37,2396;-37,2396;82,0000;0,0000
8;11;14;0,1351;0,1569;0,0000;1,0000;0,0000;L;0,6000;0,0043;-2,3331;2,3374;60,0000;0,0000
8;11;15;0,1351;0,1569;0,0000;1,0000;0,0000;L;0,6000;0,0043;-2,3331;2,3374;60,0000;0,0000
8;12;16;0,1229;0,2558;0,0000;1,0000;0,0000;L;0,6000;0,1733;13,2677;-13,0945;60,0000;0,0000
9;12;17;0,1709;0,2514;0,0000;1,0000;0,0000;L;0,6000;0,2845;15,7438;-15,4593;60,0000;0,0000
9;13;18;0,1467;0,2133;0,0000;1,0000;0,0000;L;0,6000;0,2559;16,1630;-15,9071;60,0000;0,0000
9;13;19;0,1467;0,2133;0,0000;1,0000;0,0000;L;0,6000;0,2559;16,1630;-15,9071;60,0000;0,0000
10;13;20;0,1271;0,2704;0,0000;1,0000;0,0000;L;0,6000;0,0145;3,7396;-3,7251;60,0000;0,0000
12;13;21;0,0925;0,1985;0,0000;1,0000;0,0000;L;0,6000;0,0049;-2,5263;2,5311;60,0000;0,0000
